stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Project\Gamroo\bin\Debug\allegro5.cfg r
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
dtor     D               dtor.c:196  _al_register_destructor          [   0.00063] added dtor for timer 00f48ca8, func 747d6f88
dtor     D               dtor.c:196  _al_register_destructor          [   0.00077] added dtor for queue 00f404e8, func 747c6367
dtor     D               dtor.c:196  _al_register_destructor          [   0.00091] added dtor for bitmap 00f4c4c8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00227] added dtor for bitmap 00f4c648, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00565] added dtor for bitmap 027237f0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00616] added dtor for sub_bitmap 02756f88, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00626] added dtor for sub_bitmap 02757120, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00635] added dtor for sub_bitmap 027572b8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00644] added dtor for sub_bitmap 02757450, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00656] added dtor for sub_bitmap 027577d8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00664] added dtor for sub_bitmap 02757958, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00673] added dtor for sub_bitmap 02757ad8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00681] added dtor for sub_bitmap 02757c58, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00690] added dtor for sub_bitmap 02757dd8, func 747a1c9e
