stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Project\MatrixRain\bin\Debug\allegro5.cfg r
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
dtor     D               dtor.c:196  _al_register_destructor          [   0.00067] added dtor for timer 01147808, func 6ff36f88
dtor     D               dtor.c:196  _al_register_destructor          [   0.00084] added dtor for queue 011478f8, func 6ff26367
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00136] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00149] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00555] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.07948] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.08098] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.08110] al_display=0114d7f8
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.08118] al_display->vt=0114d738
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08770] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.08783] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08794] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08802] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08810] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08818] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08828] Score is : 641
