stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Project\practises\bin\Debug\allegro5.cfg r
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
dtor     D               dtor.c:196  _al_register_destructor          [   0.00063] added dtor for timer 00e57800, func 747d6f88
dtor     D               dtor.c:196  _al_register_destructor          [   0.00077] added dtor for queue 00e578f0, func 747c6367
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00123] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00133] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00530] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.07663] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.07800] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.07811] al_display=00e5e280
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.07819] al_display->vt=00e5c810
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08409] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.08423] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08435] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08444] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08452] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08460] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08468] Score is : 897
