stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Project\x\bin\Debug\allegro5.cfg r
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
dtor     D               dtor.c:196  _al_register_destructor          [   0.00131] added dtor for timer 006c7530, func 6f826f88
dtor     D               dtor.c:196  _al_register_destructor          [   0.00200] added dtor for queue 006cbf58, func 6f816367
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00277] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00296] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.01079] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.12494] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.12855] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.12882] al_display=006cd818
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.12910] al_display->vt=006cc3d8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.14086] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.14113] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14133] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14148] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14164] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14179] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14194] Score is : 897
